InitializeWeights:  w_a = 0.995 w_b = 0.99999

 iterations              T          dS/S            meanE              sdE         (e)meanE           (e)sdE   acc    alpha
     730000     270.023022  6.487214e-05      1449.376027       653.243526      1300.187640       406.380420  0.26  0.18810
     740000     253.146013  6.483228e-05      1462.264031       626.447391      1185.263540       383.127673  0.36  0.21930
     750000     237.472585  6.319909e-05      1206.653070       226.562036      1213.203778       362.000763  0.48  0.22471
     760000     223.006804  6.281210e-05      1233.394573       334.136225      1128.913656       341.627831  0.51  0.22062
     770000     209.663453  6.258183e-05      1416.584444       499.124055      1091.634907       321.871720  0.49  0.22358
     780000     197.136552  6.050529e-05      1418.221020       511.614214      1022.313692       302.602741  0.41  0.22582
     790000     185.412416  5.935339e-05      1148.244671       322.616375       925.439476       285.516226  0.50  0.22222
     800000     174.422495  6.167481e-05      1026.732621       312.777446       966.266004       268.840272  0.46  0.22624
     810000     164.274953  5.971884e-05      1073.054460       511.129448       961.181354       255.103643  0.45  0.22664
     820000     154.846264  5.882007e-05      1121.199928       348.794963       879.794468       241.800695  0.40  0.22500
     830000     146.103490  5.806707e-05       922.122981       219.909545       807.108564       229.478411  0.43  0.22671
     840000     137.999712  5.447284e-05       779.041980       150.672019       815.604935       217.875988  0.55  0.21189
     850000     130.404882  5.628520e-05       858.820096       210.290163       846.828968       206.636852  0.45  0.22664
     860000     123.363158  5.582963e-05       679.690942       167.353418       672.791136       196.787341  0.38  0.22264
     870000     116.778473  5.452785e-05       836.563137       210.173837       808.049669       186.534779  0.57  0.20616
     880000     110.638989  5.376670e-05       650.382610       183.238893       595.542773       178.292459  0.49  0.22358
     890000     104.881687  5.313145e-05       627.456316       164.413054       664.332255       169.327717  0.36  0.21930
     900000      99.518784  5.270521e-05       732.810714       245.856196       688.620223       161.644109  0.47  0.22559
     910000      94.507065  5.023333e-05       772.732653       194.984345       671.045550       153.855246  0.41  0.22582
     920000      89.779494  5.169685e-05       640.870697       158.440208       574.151449       146.852576  0.41  0.22582
     930000      85.338958  5.062880e-05       500.069829       115.679422       549.196170       140.006945  0.34  0.21499
     940000      81.202885  4.978314e-05       627.088315       159.307500       571.419133       134.600367  0.42  0.22639
     950000      77.364844  4.813238e-05       523.970635       158.323748       552.135073       129.360842  0.48  0.22471
     960000      73.802491  4.263550e-05       517.654382       224.685753       489.822325       124.260485  0.50  0.22222
     970000      70.465384  4.388869e-05       554.861297       198.297627       488.809115       119.678979  0.49  0.22358
     980000      67.356201  4.321723e-05       564.392931       145.704689       469.008569       114.883708  0.51  0.22062
     990000      64.414006  4.518588e-05       483.359652       119.159961       507.397174       110.221742  0.48  0.22471
    1000000      61.626298  4.405129e-05       452.819094        89.841505       421.316672       106.128193  0.43  0.22671
    1010000      59.006182  4.429518e-05       366.001081        73.540673       368.588771       101.672338  0.47  0.22559
    1020000      56.493006  4.386877e-05       449.755113       144.057440       401.219479        97.607107  0.53  0.21672
    1030000      54.112052  4.335091e-05       421.224843       107.683300       382.200842        93.927833  0.48  0.22471
    1040000      51.854969  4.301711e-05       425.261775       152.758892       374.117035        90.235247  0.43  0.22671
    1050000      49.722657  4.231900e-05       399.469219        65.788369       393.762687        86.856338  0.43  0.22671
    1060000      47.707825  4.177474e-05       433.373635        86.913381       384.279060        83.798689  0.49  0.22358
    1070000      45.811997  4.069667e-05       423.298711       101.167139       382.299245        81.156673  0.48  0.22471
    1080000      44.008247  4.048417e-05       406.977563        90.570079       376.354145        78.151767  0.48  0.22471
    1090000      42.313398  3.854987e-05       394.167782       152.879569       347.476638        75.744494  0.36  0.21930
    1100000      40.710216  3.865179e-05       384.072309       101.623337       348.531688        73.120318  0.36  0.21930
    1110000      39.183459  3.424292e-05       311.093601        91.057579       342.048276        70.564159  0.40  0.22500
    1120000      37.727605  3.782622e-05       404.467412       103.750398       354.962264        68.420579  0.52  0.21879
    1130000      36.353804  3.771389e-05       326.843991        73.257723       313.036789        66.094534  0.38  0.22264
    1140000      35.017844  3.762682e-05       308.970140        49.953315       290.205989        63.530819  0.39  0.22394
    1150000      33.736979  3.661915e-05       304.583514        47.157892       309.496825        61.263408  0.49  0.22358
    1160000      32.508979  3.679679e-05       274.619657        68.871018       304.503116        59.322652  0.38  0.22264
    1170000      31.338864  3.701732e-05       318.657299        85.775887       266.475860        57.263943  0.42  0.22639
    1180000      30.212403  3.679943e-05       232.687237        40.979855       250.884684        55.219962  0.47  0.22559
    1190000      29.129463  3.653774e-05       282.774441        64.836785       257.848808        53.205798  0.48  0.22471
    1200000      28.074933  3.703914e-05       249.275819        40.020227       254.936352        51.224780  0.56  0.20914
    1210000      27.059285  3.749909e-05       255.253723        32.558806       243.640128        49.286890  0.42  0.22639
    1220000      26.078681  3.684035e-05       237.394921        30.187548       253.128380        47.566343  0.43  0.22671
    1230000      25.130984  3.726985e-05       276.832217        52.765697       245.121544        45.740725  0.45  0.22664
    1240000      24.224837  3.680740e-05       263.081278        40.622127       243.655052        44.346874  0.47  0.22559
    1250000      23.369314  3.578667e-05       271.855572        48.123444       250.505128        43.113869  0.36  0.21930
    1260000      22.557364  3.567437e-05       276.871935        72.079340       246.649700        41.678815  0.48  0.22471
    1270000      21.771145  3.591249e-05       238.635939        38.092990       232.113035        40.183547  0.52  0.21879
    1280000      21.022589  3.459715e-05       232.635960        43.974640       226.138037        39.102976  0.46  0.22624
