InitializeWeights:  w_a = 0.995 w_b = 0.99999

 iterations              T          dS/S            meanE              sdE         (e)meanE           (e)sdE   acc    alpha
    2950000       0.679184  1.079786e-05        94.113354         2.212832        93.429294         1.795666  0.36  0.21930
    2960000       0.671040  1.184837e-05        93.089954         1.953238        93.694366         1.775044  0.33  0.21247
    2970000       0.662992  1.214097e-05        91.659291         1.151045        91.947133         1.753694  0.42  0.22639
    2980000       0.655048  1.224382e-05        93.920499         2.498173        93.240143         1.732812  0.43  0.22671
    2990000       0.647235  1.174443e-05        94.617841         3.254894        92.908600         1.715805  0.44  0.22680
    3000000       0.639564  1.206898e-05        92.378776         2.207990        93.389882         1.699977  0.44  0.22680
    3010000       0.632016  1.142561e-05        94.110146         2.793285        93.323637         1.681046  0.44  0.22680
    3020000       0.624611  1.193092e-05        92.021281         1.617388        92.170365         1.665973  0.48  0.22471
    3030000       0.617319  1.190943e-05        92.960346         1.484322        92.676707         1.648119  0.37  0.22109
    3040000       0.610120  1.186849e-05        93.551572         2.405745        92.491742         1.629836  0.43  0.22671
    3050000       0.603036  1.132379e-05        92.856233         1.705567        93.062442         1.614394  0.40  0.22500
    3060000       0.596089  1.099381e-05        93.386661         2.819152        91.875120         1.598235  0.51  0.22062
    3070000       0.589240  9.504967e-06        93.782423         2.187069        92.945002         1.581619  0.43  0.22671
    3080000       0.582500  1.170122e-05        92.238776         2.102613        91.941420         1.564528  0.45  0.22664
    3090000       0.575852  1.059324e-05        91.947381         1.437996        91.547405         1.548934  0.42  0.22639
    3100000       0.569299  1.155891e-05        92.362927         1.588008        91.774614         1.532771  0.47  0.22559
    3110000       0.562841  1.145630e-05        92.034266         2.042418        91.930449         1.518576  0.52  0.21879
    3120000       0.556495  1.150463e-05        91.325561         1.319429        91.143279         1.502954  0.44  0.22680
    3130000       0.550243  1.085149e-05        91.151469         1.779803        92.041474         1.487587  0.41  0.22582
    3140000       0.544067  1.146740e-05        92.873688         2.666316        90.917419         1.471178  0.38  0.22264
    3150000       0.537977  1.123080e-05        90.254214         0.906597        90.706176         1.455051  0.54  0.21442
    3160000       0.531937  1.149082e-05        92.404439         2.191142        90.575738         1.437572  0.39  0.22394
    3170000       0.525956  1.123128e-05        91.052596         1.154773        91.791583         1.420118  0.38  0.22264
    3180000       0.520044  1.145269e-05        92.924138         2.440039        91.212107         1.406141  0.46  0.22624
    3190000       0.514215  1.107074e-05        92.777296         2.319403        91.468124         1.390276  0.46  0.22624
    3200000       0.508489  1.129262e-05        92.525489         2.586592        91.004809         1.378540  0.43  0.22671
    3210000       0.502856  1.129529e-05        92.236642         2.443152        91.033850         1.365954  0.38  0.22264
    3220000       0.497316  1.122577e-05        92.198492         1.613217        91.350604         1.352090  0.48  0.22471
    3230000       0.491838  1.008521e-05        91.868912         1.684101        91.266231         1.337829  0.45  0.22664
    3240000       0.486439  1.121429e-05        91.417416         1.275360        90.557557         1.324997  0.47  0.22559
    3250000       0.481102  1.087694e-05        91.564805         1.693678        90.793860         1.312067  0.38  0.22264
    3260000       0.475839  1.114640e-05        90.496291         1.349980        90.063594         1.296757  0.39  0.22394
    3270000       0.470623  1.116863e-05        90.687728         1.690219        90.398476         1.282917  0.35  0.21726
    3280000       0.465480  1.045998e-05        90.934298         1.180764        90.357749         1.268897  0.47  0.22559
    3290000       0.460394  1.107036e-05        90.482978         1.483295        90.169242         1.256432  0.50  0.22222
    3300000       0.455365  1.103398e-05        90.787844         1.525355        89.908666         1.243539  0.43  0.22671
    3310000       0.450422  1.105094e-05        90.907751         2.210523        89.624619         1.231438  0.43  0.22671
    3320000       0.445540  1.104732e-05        91.208442         1.359655        90.615243         1.219684  0.43  0.22671
    3330000       0.440722  1.000474e-05        91.915960         2.738705        89.959392         1.208295  0.51  0.22062
    3340000       0.435984  1.089260e-05        90.808845         1.404191        89.964980         1.195739  0.46  0.22624
    3350000       0.431295  1.097669e-05        89.962100         1.168727        89.812525         1.183488  0.33  0.21247
    3360000       0.426663  1.099427e-05        89.923135         0.880976        89.890790         1.169994  0.40  0.22500
    3370000       0.422093  1.085375e-05        90.580557         1.928639        89.447439         1.159532  0.40  0.22500
    3380000       0.417588  1.050142e-05        90.704792         1.912097        90.197275         1.149070  0.49  0.22358
    3390000       0.413176  1.075541e-05        89.696617         1.543628        89.238528         1.140562  0.32  0.20971
    3400000       0.408819  1.046094e-05        90.135316         1.556470        89.434387         1.129523  0.52  0.21879
    3410000       0.404532  1.061440e-05        90.949553         1.403412        90.052121         1.119090  0.45  0.22664
    3420000       0.400293  1.031771e-05        90.828932         1.755697        89.783510         1.108838  0.40  0.22500
    3430000       0.396113  1.031908e-05        90.070004         1.135821        90.227419         1.097197  0.50  0.22222
    3440000       0.391997  1.058788e-05        90.420890         1.216115        90.045291         1.088412  0.40  0.22500
    3450000       0.387946  1.050052e-05        90.266720         1.777066        90.041625         1.080275  0.51  0.22062
    3460000       0.383965  1.012128e-05        90.244877         1.049029        89.695899         1.070428  0.50  0.22222
    3470000       0.380050  1.041045e-05        90.538991         2.126481        89.537973         1.061467  0.43  0.22671
    3480000       0.376188  1.000351e-05        89.623044         1.190739        89.297289         1.052034  0.48  0.22471
    3490000       0.372380  1.027993e-05        89.366699         1.092566        89.337451         1.041641  0.40  0.22500
    3500000       0.368606  1.029023e-05        89.788435         1.277401        89.283900         1.031989  0.37  0.22109
    3510000       0.364876  9.800642e-06        89.848677         0.997877        89.370783         1.020504  0.54  0.21442
    3520000       0.361180  1.025849e-05        89.937505         1.245908        89.285668         1.011021  0.44  0.22680
    3530000       0.357547  1.027472e-05        88.647504         0.930488        88.864887         1.002735  0.55  0.21189
    3540000       0.353961  1.021903e-05        89.470087         1.246159        89.004547         0.994492  0.42  0.22639
    3550000       0.350424  1.019717e-05        89.007895         0.599587        88.928459         0.984857  0.35  0.21726
    3560000       0.346919  9.919529e-06        89.568992         1.753784        88.262083         0.975637  0.52  0.21879
    3570000       0.343468  1.012922e-05        88.728821         0.721102        88.594373         0.967940  0.35  0.21726
    3580000       0.340070  1.011217e-05        90.086965         1.597347        88.968974         0.959046  0.45  0.22664
    3590000       0.336708  9.835565e-06        89.293507         1.545829        88.311127         0.950275  0.41  0.22582
    3600000       0.333396  1.001630e-05        89.484745         1.375424        88.651257         0.941849  0.41  0.22582
    3610000       0.330114  1.001057e-05        90.082861         1.644323        88.775978         0.933340  0.43  0.22671
    3620000       0.326873  9.964103e-06        89.532603         2.027612        88.482832         0.925038  0.42  0.22639
    3630000       0.323658  9.504170e-06        88.328105         0.734099        88.207918         0.915338  0.50  0.22222
    3640000       0.320476  1.000653e-05        88.771521         0.908309        88.217624         0.906197  0.47  0.22559
    3650000       0.317343  9.966362e-06        88.745938         1.219068        88.848466         0.897992  0.43  0.22671
    3660000       0.314232  9.373702e-06        88.889785         1.581467        88.671848         0.889306  0.43  0.22671
    3670000       0.311160  9.915564e-06        88.849560         1.535299        88.512250         0.881715  0.58  0.20296
    3680000       0.308135  9.580621e-06        88.416091         0.798579        88.213424         0.874890  0.49  0.22358
    3690000       0.305150  9.605375e-06        88.487156         0.846852        88.216408         0.867411  0.43  0.22671
    3700000       0.302199  9.830371e-06        88.591613         1.053673        88.155837         0.859061  0.52  0.21879
    3710000       0.299280  9.737277e-06        88.402052         0.780436        88.249732         0.850639  0.44  0.22680
    3720000       0.296385  9.744645e-06        88.394188         0.952499        88.194961         0.842649  0.48  0.22471
    3730000       0.293521  9.538112e-06        88.660722         1.506347        88.094505         0.834650  0.32  0.20971
    3740000       0.290683  9.876843e-06        88.674092         1.095052        88.210126         0.825542  0.49  0.22358
    3750000       0.287862  9.039858e-06        88.592721         1.246338        87.993469         0.817055  0.52  0.21879
    3760000       0.285068  9.899064e-06        88.381259         1.091249        87.710627         0.809167  0.38  0.22264
    3770000       0.282307  9.664603e-06        87.994018         1.172332        87.670729         0.801411  0.47  0.22559
    3780000       0.279581  9.113371e-06        88.860595         1.056797        87.986661         0.795222  0.52  0.21879
    3790000       0.276888  9.772935e-06        88.942671         1.576509        87.636597         0.789149  0.41  0.22582
    3800000       0.274242  9.724061e-06        88.115819         0.858136        87.978775         0.782414  0.44  0.22680
    3810000       0.271628  9.418749e-06        88.006299         0.751371        87.669598         0.775629  0.45  0.22664
    3820000       0.269043  9.698792e-06        87.753392         1.075216        87.323779         0.769188  0.40  0.22500
    3830000       0.266494  8.806485e-06        88.241321         1.385669        87.732946         0.762361  0.40  0.22500
    3840000       0.263971  9.630235e-06        87.496476         0.801680        87.112587         0.755550  0.49  0.22358
    3850000       0.261473  8.531344e-06        87.634474         0.995362        87.792059         0.748317  0.40  0.22500
    3860000       0.259012  9.611007e-06        88.303048         0.868888        87.786641         0.742926  0.46  0.22624
    3870000       0.256585  9.572515e-06        88.530685         1.486323        87.757247         0.736870  0.43  0.22671
    3880000       0.254185  9.529419e-06        87.391410         0.591939        87.285620         0.731054  0.43  0.22671
    3890000       0.251816  9.491239e-06        87.797888         0.804447        87.538744         0.724262  0.45  0.22664
    3900000       0.249467  9.016075e-06        87.793761         0.831282        87.443464         0.717404  0.39  0.22394
    3910000       0.247133  9.250736e-06        87.857493         1.224629        87.368883         0.709393  0.54  0.21442
    3920000       0.244814  9.150306e-06        87.209081         0.506232        87.174891         0.703633  0.47  0.22559
    3930000       0.242528  9.559694e-06        87.513752         0.907976        87.316184         0.696889  0.35  0.21726
    3940000       0.240258  9.330731e-06        87.417356         0.639315        87.221668         0.691247  0.48  0.22471
    3950000       0.238014  9.104619e-06        87.591053         0.639820        87.065176         0.684669  0.38  0.22264
    3960000       0.235796  9.320095e-06        87.783788         0.803062        87.489813         0.678674  0.37  0.22109
    3970000       0.233605  9.383638e-06        87.764239         0.706894        87.510139         0.673627  0.44  0.22680
    3980000       0.231445  9.342925e-06        87.621359         0.747477        87.382881         0.668367  0.29  0.19998
    3990000       0.229315  9.387932e-06        87.715641         0.692633        87.499394         0.662831  0.49  0.22358
    4000000       0.227209  9.370787e-06        88.282726         1.159287        87.273520         0.656838  0.36  0.21930
    4010000       0.225122  9.256115e-06        87.489760         0.622346        86.990667         0.651105  0.34  0.21499
    4020000       0.223069  9.331194e-06        87.755251         1.017231        87.256756         0.646018  0.48  0.22471
    4030000       0.221037  9.134210e-06        87.177487         0.959438        87.013174         0.640883  0.42  0.22639
    4040000       0.219023  9.328930e-06        87.345944         0.427377        87.153114         0.634401  0.43  0.22671
    4050000       0.217025  8.604727e-06        87.727922         0.868836        87.072999         0.628655  0.49  0.22358
    4060000       0.215043  9.321969e-06        87.639313         0.607452        87.481879         0.622969  0.49  0.22358
    4070000       0.213075  9.025533e-06        86.960977         0.658557        86.746750         0.617147  0.41  0.22582
    4080000       0.211132  9.249434e-06        87.003575         0.930853        86.656608         0.612882  0.55  0.21189
    4090000       0.209219  9.003590e-06        87.551764         1.120670        87.041284         0.607696  0.47  0.22559
    4100000       0.207323  9.165159e-06        87.182600         0.842838        86.975295         0.602298  0.43  0.22671
    4110000       0.205449  9.217399e-06        87.000512         0.666647        87.085085         0.597489  0.44  0.22680
    4120000       0.203594  9.030244e-06        87.488363         0.840277        86.905850         0.592196  0.45  0.22664
    4130000       0.201759  8.873700e-06        86.642247         0.543205        86.868985         0.587225  0.37  0.22109
    4140000       0.199947  8.949475e-06        86.900611         0.464525        86.790691         0.582326  0.59  0.19955
    4150000       0.198154  8.930668e-06        87.196082         0.730192        87.017982         0.577113  0.36  0.21930
    4160000       0.196373  8.822161e-06        87.190047         0.611522        86.944613         0.571331  0.42  0.22639
    4170000       0.194607  9.164713e-06        87.096801         0.787029        86.817780         0.566292  0.44  0.22680
    4180000       0.192858  9.172810e-06        87.115987         0.725577        86.741935         0.561780  0.49  0.22358
    4190000       0.191127  9.130684e-06        86.912945         0.604049        86.758100         0.557590  0.43  0.22671
    4200000       0.189418  8.414803e-06        87.000961         0.706222        86.700175         0.552782  0.49  0.22358
    4210000       0.187728  9.138033e-06        86.877960         0.748632        86.489976         0.547532  0.42  0.22639
    4220000       0.186052  8.860553e-06        87.071773         0.843245        86.592662         0.543297  0.53  0.21672
    4230000       0.184400  8.755687e-06        87.019372         0.803431        86.420049         0.539528  0.38  0.22264
    4240000       0.182765  9.051225e-06        87.105642         0.489457        86.833650         0.534373  0.33  0.21247
    4250000       0.181141  8.935774e-06        86.866509         0.469352        86.800002         0.530088  0.37  0.22109
    4260000       0.179540  8.338990e-06        86.922243         0.808274        86.475601         0.525539  0.27  0.19230
    4270000       0.177957  8.517472e-06        86.353464         0.428640        86.390738         0.521550  0.37  0.22109
    4280000       0.176391  8.804501e-06        86.555489         0.801182        86.390501         0.517419  0.45  0.22664
    4290000       0.174841  8.947451e-06        86.649697         0.557885        86.420359         0.512689  0.57  0.20616
    4300000       0.173303  8.970170e-06        86.841246         0.649380        86.423047         0.507918  0.46  0.22624
    4310000       0.171785  8.615573e-06        86.622112         0.761721        86.321763         0.504936  0.44  0.22680
    4320000       0.170287  8.651496e-06        86.743450         0.840316        86.275370         0.501235  0.45  0.22664
    4330000       0.168805  8.831863e-06        86.420924         0.539416        86.259520         0.497139  0.40  0.22500
    4340000       0.167339  8.834065e-06        86.672722         0.681578        86.261232         0.493253  0.48  0.22471
    4350000       0.165891  8.825979e-06        86.660208         0.739097        86.267428         0.489424  0.41  0.22582
    4360000       0.164456  8.802693e-06        86.435885         0.489538        86.203590         0.485325  0.39  0.22394
    4370000       0.163037  8.783631e-06        86.713735         0.605920        86.383680         0.481489  0.58  0.20296
    4380000       0.161629  8.830276e-06        86.392767         0.352750        86.192018         0.476760  0.50  0.22222
    4390000       0.160230  8.823192e-06        86.540127         0.590039        86.321196         0.472042  0.45  0.22664
    4400000       0.158837  8.871190e-06        86.471068         0.237311        86.335770         0.467844  0.34  0.21499
    4410000       0.157454  8.773739e-06        86.353932         0.731782        86.232015         0.463353  0.54  0.21442
    4420000       0.156084  8.845026e-06        85.949642         0.552423        86.113224         0.459599  0.49  0.22358
    4430000       0.154730  8.859002e-06        86.199764         0.524787        86.210861         0.456030  0.46  0.22624
    4440000       0.153389  8.736502e-06        85.913068         0.483165        86.057117         0.452265  0.54  0.21442
    4450000       0.152065  8.804245e-06        86.382411         0.641870        86.204358         0.448737  0.51  0.22062
    4460000       0.150752  8.699091e-06        86.489517         0.725830        85.998175         0.444895  0.48  0.22471
    4470000       0.149451  8.588350e-06        86.174446         0.452394        86.168741         0.441283  0.42  0.22639
    4480000       0.148162  8.718795e-06        86.156760         0.678930        86.024375         0.437844  0.47  0.22559
    4490000       0.146889  8.722006e-06        86.194347         0.840567        85.901141         0.434410  0.37  0.22109
    4500000       0.145629  8.679373e-06        86.281322         0.573400        86.017401         0.431889  0.40  0.22500
    4510000       0.144392  8.305705e-06        86.323961         0.560562        86.160789         0.428272  0.58  0.20296
    4520000       0.143165  8.697053e-06        86.220716         0.613638        85.835069         0.424551  0.46  0.22624
    4530000       0.141947  8.654972e-06        85.874110         0.433428        85.942963         0.421007  0.39  0.22394
    4540000       0.140741  8.588171e-06        85.912517         0.635798        85.661655         0.417830  0.56  0.20914
    4550000       0.139547  8.628051e-06        85.931099         0.560010        85.737854         0.414186  0.43  0.22671
    4560000       0.138367  8.464054e-06        86.163971         0.449452        86.128198         0.411503  0.49  0.22358
    4570000       0.137198  8.592940e-06        85.815893         0.481847        85.746927         0.407901  0.54  0.21442
    4580000       0.136043  8.583328e-06        86.136276         0.664606        85.684163         0.404872  0.43  0.22671
    4590000       0.134895  8.381196e-06        85.884440         0.531832        85.651079         0.401280  0.42  0.22639
    4600000       0.133758  8.570241e-06        85.968842         0.531679        85.800036         0.398273  0.49  0.22358
    4610000       0.132636  8.111580e-06        85.797643         0.356613        85.671177         0.395104  0.45  0.22664
    4620000       0.131521  8.538136e-06        85.987668         0.268658        85.806630         0.391721  0.51  0.22062
    4630000       0.130417  8.417680e-06        85.888747         0.563858        85.678022         0.388573  0.46  0.22624
    4640000       0.129323  8.549207e-06        86.319960         0.676099        86.089940         0.385384  0.41  0.22582
    4650000       0.128241  8.508573e-06        85.865649         0.361706        85.784110         0.382397  0.48  0.22471
    4660000       0.127168  8.525208e-06        85.767903         0.588971        85.746153         0.379585  0.37  0.22109
    4670000       0.126106  8.429084e-06        85.862563         0.469605        85.585147         0.376291  0.45  0.22664
    4680000       0.125057  8.462416e-06        85.567540         0.324521        85.550145         0.373934  0.52  0.21879
    4690000       0.124021  7.703303e-06        85.449439         0.390700        85.484146         0.371296  0.44  0.22680
    4700000       0.122994  8.422335e-06        85.408182         0.376809        85.371298         0.368001  0.40  0.22500
    4710000       0.121975  8.403134e-06        85.960488         0.625587        85.561124         0.365236  0.46  0.22624
    4720000       0.120966  8.455190e-06        85.922955         0.460994        85.879106         0.362064  0.38  0.22264
    4730000       0.119963  7.982069e-06        85.736784         0.501144        85.541235         0.359282  0.52  0.21879
    4740000       0.118975  8.317986e-06        85.989970         0.490759        85.705343         0.356397  0.45  0.22664
    4750000       0.117994  8.393913e-06        85.743837         0.381814        85.701802         0.353776  0.47  0.22559
    4760000       0.117024  8.157002e-06        85.744304         0.278974        85.612320         0.351272  0.48  0.22471
    4770000       0.116065  8.014096e-06        85.715427         0.384490        85.669258         0.348377  0.38  0.22264
    4780000       0.115111  8.388497e-06        85.566298         0.335883        85.492029         0.345447  0.56  0.20914
    4790000       0.114168  8.198763e-06        85.722958         0.511562        85.419200         0.342950  0.42  0.22639
    4800000       0.113237  8.292212e-06        85.790047         0.416584        85.518329         0.340684  0.40  0.22500
    4810000       0.112314  8.217798e-06        85.807152         0.788850        85.415005         0.337988  0.41  0.22582
    4820000       0.111399  8.201199e-06        85.599668         0.530860        85.345772         0.335280  0.45  0.22664
    4830000       0.110488  8.236663e-06        85.629201         0.499212        85.450591         0.332237  0.39  0.22394
    4840000       0.109590  8.152611e-06        85.304990         0.237776        85.346318         0.329807  0.38  0.22264
    4850000       0.108697  8.320263e-06        85.340362         0.341287        85.279355         0.327088  0.41  0.22582
    4860000       0.107811  8.269529e-06        85.524661         0.427335        85.334040         0.324265  0.37  0.22109
    4870000       0.106932  8.317768e-06        85.206185         0.327880        85.309500         0.321808  0.48  0.22471
    4880000       0.106062  8.271779e-06        85.551055         0.442473        85.337392         0.319559  0.49  0.22358
    4890000       0.105203  7.979302e-06        85.331297         0.326708        85.184547         0.317480  0.40  0.22500
    4900000       0.104355  8.210104e-06        85.593246         0.294824        85.330587         0.315458  0.47  0.22559
    4910000       0.103520  8.166272e-06        85.412806         0.477738        85.234510         0.313239  0.42  0.22639
    4920000       0.102690  8.010866e-06        85.597997         0.537199        85.200845         0.310864  0.50  0.22222
    4930000       0.101866  7.882360e-06        85.212338         0.341332        85.231184         0.308428  0.51  0.22062
    4940000       0.101049  8.179901e-06        85.330712         0.484449        85.132291         0.305661  0.55  0.21189
    4950000       0.100238  8.164656e-06        85.440610         0.402953        85.205661         0.303393  0.52  0.21879
    4960000       0.099433  8.136953e-06        85.284952         0.386399        85.102376         0.301045  0.55  0.21189
    4970000       0.098639  8.102780e-06        85.388709         0.374205        85.156858         0.298699  0.47  0.22559
    4980000       0.097850  8.155896e-06        85.156104         0.301536        85.092990         0.296271  0.38  0.22264
    4990000       0.097068  8.159676e-06        85.313714         0.338810        85.120484         0.293966  0.46  0.22624
    5000000       0.096291  7.527597e-06        85.034337         0.281843        85.014084         0.291638  0.36  0.21930
    5010000       0.095522  8.041974e-06        85.358097         0.359031        85.171178         0.289379  0.48  0.22471
    5020000       0.094759  8.044674e-06        85.484696         0.409552        85.144295         0.287036  0.58  0.20296
    5030000       0.094005  8.002864e-06        85.254673         0.402936        85.074612         0.285399  0.38  0.22264
    5040000       0.093260  7.475613e-06        85.373312         0.389709        85.236114         0.283370  0.52  0.21879
    5050000       0.092520  8.103577e-06        85.310415         0.339746        85.319174         0.280840  0.47  0.22559
    5060000       0.091785  8.119023e-06        85.183993         0.465259        85.089475         0.278433  0.46  0.22624
    5070000       0.091057  7.995168e-06        85.147705         0.293991        85.191861         0.276534  0.51  0.22062
    5080000       0.090333  8.035679e-06        85.444682         0.294379        85.363102         0.274547  0.49  0.22358
    5090000       0.089620  7.199974e-06        85.010300         0.344027        85.202316         0.272751  0.43  0.22671
    5100000       0.088917  8.006144e-06        85.248532         0.479130        85.013326         0.270994  0.53  0.21672
    5110000       0.088217  7.928695e-06        85.221676         0.308567        85.048950         0.268657  0.58  0.20296
    5120000       0.087521  8.033465e-06        85.383724         0.339378        85.139791         0.266339  0.56  0.20914
    5130000       0.086832  7.999154e-06        85.093272         0.170074        85.033461         0.264301  0.55  0.21189
    5140000       0.086148  7.918684e-06        85.420530         0.205785        85.309590         0.262324  0.46  0.22624
    5150000       0.085473  7.971094e-06        85.010982         0.238048        85.007217         0.260876  0.44  0.22680
    5160000       0.084805  7.840672e-06        85.170112         0.379991        84.980773         0.258725  0.50  0.22222
    5170000       0.084141  7.925304e-06        85.037894         0.151104        85.026671         0.256675  0.43  0.22671
    5180000       0.083481  7.930753e-06        85.084471         0.327970        85.044983         0.254502  0.50  0.22222
    5190000       0.082828  7.977488e-06        85.041465         0.415690        84.869064         0.252798  0.39  0.22394
    5200000       0.082181  7.952279e-06        84.967965         0.252151        84.951177         0.250878  0.53  0.21672
    5210000       0.081539  7.868222e-06        85.090149         0.441310        84.846045         0.248956  0.49  0.22358
    5220000       0.080902  7.884539e-06        85.206547         0.434325        84.910774         0.247124  0.52  0.21879
    5230000       0.080272  7.869958e-06        85.122570         0.386597        84.954950         0.245069  0.42  0.22639
    5240000       0.079646  7.835770e-06        84.835805         0.311102        84.865179         0.243510  0.39  0.22394
    5250000       0.079028  7.713015e-06        85.054581         0.503234        84.789409         0.241694  0.49  0.22358
    5260000       0.078416  7.836091e-06        84.817176         0.181132        84.904898         0.239741  0.42  0.22639
    5270000       0.077807  7.880351e-06        84.912912         0.214014        84.802881         0.238096  0.46  0.22624
    5280000       0.077203  7.864999e-06        84.971733         0.292474        84.826119         0.236326  0.46  0.22624
    5290000       0.076608  7.874323e-06        85.054599         0.264806        84.890381         0.234774  0.47  0.22559
    5300000       0.076018  7.507276e-06        85.040649         0.388328        84.903974         0.233199  0.55  0.21189
    5310000       0.075435  7.438868e-06        85.004763         0.361839        84.879167         0.231496  0.54  0.21442
    5320000       0.074856  7.822367e-06        84.894365         0.201000        84.778670         0.229909  0.46  0.22624
    5330000       0.074282  7.799541e-06        84.986986         0.253182        84.820571         0.228237  0.58  0.20296
    5340000       0.073713  7.825109e-06        85.111895         0.418425        84.840616         0.226376  0.48  0.22471
    5350000       0.073148  7.630471e-06        85.058650         0.337061        84.833594         0.224511  0.44  0.22680
    5360000       0.072587  7.563521e-06        84.822034         0.235746        84.816281         0.222822  0.40  0.22500
    5370000       0.072029  7.837471e-06        85.049120         0.316868        84.884193         0.221007  0.44  0.22680
    5380000       0.071477  7.325175e-06        84.848770         0.301327        84.776190         0.219415  0.45  0.22664
    5390000       0.070928  7.685440e-06        85.040464         0.317066        84.885430         0.217703  0.48  0.22471
    5400000       0.070384  7.815173e-06        84.977382         0.263784        84.830280         0.215980  0.44  0.22680
    5410000       0.069843  7.772593e-06        85.158634         0.326676        84.889752         0.214360  0.44  0.22680
    5420000       0.069306  7.812208e-06        85.003231         0.343294        84.821378         0.212633  0.55  0.21189
    5430000       0.068774  7.842442e-06        84.991637         0.260099        84.830184         0.211075  0.46  0.22624
    5440000       0.068244  7.829439e-06        84.814133         0.232778        84.734667         0.209218  0.44  0.22680
    5450000       0.067718  7.650295e-06        84.827336         0.239577        84.861078         0.207666  0.52  0.21879
    5460000       0.067197  7.858481e-06        85.175540         0.202190        85.039366         0.206119  0.45  0.22664
    5470000       0.066681  7.760263e-06        84.834980         0.259079        84.811470         0.204764  0.55  0.21189
    5480000       0.066170  7.714866e-06        84.782514         0.271331        84.823438         0.203252  0.46  0.22624
    5490000       0.065664  7.531522e-06        84.848483         0.219233        84.765382         0.201855  0.47  0.22559
    5500000       0.065160  7.819107e-06        84.789515         0.161853        84.711219         0.200178  0.43  0.22671
    5510000       0.064663  7.733486e-06        84.779644         0.199007        84.683068         0.198793  0.46  0.22624
    5520000       0.064170  7.185623e-06        84.936635         0.345094        84.714479         0.197568  0.55  0.21189
    5530000       0.063683  7.551469e-06        85.053289         0.329421        84.825268         0.196280  0.57  0.20616
    5540000       0.063199  7.719826e-06        84.905335         0.302911        84.711356         0.194730  0.56  0.20914
    5550000       0.062721  7.532023e-06        84.958053         0.277106        84.764429         0.193479  0.50  0.22222
    5560000       0.062245  7.727137e-06        84.690984         0.199537        84.565710         0.191980  0.44  0.22680
    5570000       0.061773  7.718574e-06        84.871322         0.271801        84.704902         0.190282  0.42  0.22639
    5580000       0.061304  6.695626e-06        84.767076         0.327797        84.628117         0.188911  0.48  0.22471
    5590000       0.060840  7.670495e-06        84.770578         0.296541        84.595950         0.187801  0.46  0.22624
    5600000       0.060381  7.720832e-06        84.747457         0.134505        84.669673         0.186148  0.43  0.22671
    5610000       0.059923  7.627993e-06        84.822240         0.245147        84.646139         0.184857  0.38  0.22264
    5620000       0.059469  7.533711e-06        84.660615         0.198164        84.635437         0.183304  0.43  0.22671
    5630000       0.059018  7.488725e-06        84.802400         0.159696        84.743670         0.181911  0.45  0.22664
    5640000       0.058571  7.375561e-06        84.662014         0.101300        84.650058         0.180885  0.40  0.22500
    5650000       0.058128  7.693434e-06        84.730099         0.215743        84.618801         0.179419  0.43  0.22671
    5660000       0.057689  7.673668e-06        84.722378         0.178642        84.680739         0.178047  0.39  0.22394
    5670000       0.057254  7.563943e-06        84.612118         0.127256        84.605026         0.176662  0.38  0.22264
    5680000       0.056822  7.620587e-06        84.617188         0.137562        84.614135         0.175545  0.44  0.22680
    5690000       0.056395  7.632300e-06        84.597801         0.188034        84.541979         0.174534  0.36  0.21930
    5700000       0.055972  7.677787e-06        84.609637         0.121031        84.566850         0.173001  0.46  0.22624
    5710000       0.055551  7.681974e-06        84.574267         0.254464        84.570000         0.171673  0.55  0.21189
    5720000       0.055135  6.974128e-06        84.702078         0.217452        84.615630         0.170476  0.45  0.22664
    5730000       0.054720  7.518857e-06        84.683326         0.245235        84.573052         0.169290  0.49  0.22358
    5740000       0.054310  7.684643e-06        84.718486         0.251764        84.553281         0.167816  0.46  0.22624
    5750000       0.053901  7.650151e-06        84.626891         0.124987        84.565480         0.166578  0.46  0.22624
    5760000       0.053494  7.690171e-06        84.645823         0.137206        84.649295         0.165175  0.43  0.22671
    5770000       0.053092  7.558816e-06        84.710347         0.170647        84.597989         0.164282  0.41  0.22582
    5780000       0.052695  7.624778e-06        84.542235         0.159373        84.560902         0.163233  0.48  0.22471
    5790000       0.052303  7.603288e-06        84.865872         0.304313        84.657901         0.162190  0.53  0.21672
    5800000       0.051915  7.245555e-06        84.770410         0.291880        84.626124         0.161290  0.47  0.22559
    5810000       0.051531  7.337013e-06        84.677214         0.197331        84.580855         0.160242  0.43  0.22671
    5820000       0.051150  7.518580e-06        84.702628         0.181450        84.612173         0.158996  0.41  0.22582
    5830000       0.050771  7.502174e-06        84.680267         0.303105        84.542968         0.157885  0.53  0.21672
    5840000       0.050397  7.408852e-06        84.687275         0.220043        84.523009         0.156990  0.46  0.22624
    5850000       0.050028  7.293432e-06        84.481082         0.122973        84.476029         0.155878  0.51  0.22062
    5860000       0.049662  7.490633e-06        84.540298         0.188834        84.492738         0.154787  0.41  0.22582
    5870000       0.049299  7.349236e-06        84.435378         0.111166        84.416439         0.153979  0.44  0.22680
    5880000       0.048941  7.360945e-06        84.723139         0.165918        84.660566         0.152781  0.43  0.22671
    5890000       0.048583  7.249328e-06        84.540401         0.131016        84.578114         0.151790  0.39  0.22394
    5900000       0.048229  7.357481e-06        84.585904         0.120433        84.565724         0.150582  0.52  0.21879
